name,version_c,version_d,os,platform,removed,autosized,type,unit,value
audit_log_buffer_size,10,,all,all,0,0,integer,byte,"1048576"
audit_log_connection_policy,20,,all,all,0,0,enumeration,,"ALL"
audit_log_exclude_accounts,20,,all,all,0,0,string,,"NULL"
audit_log_file,10,,all,all,0,0,file name,,"audit.log"
audit_log_flush,10,,all,all,0,0,boolean,,"OFF"
audit_log_format,14,,all,all,0,0,enumeration,,"OLD"
audit_log_include_accounts,20,,all,all,0,0,string,,"NULL"
audit_log_policy,10,,all,all,0,0,enumeration,,"ALL"
audit_log_rotate_on_size,10,,all,all,0,0,integer,byte,"0"
audit_log_statement_policy,20,,all,all,0,0,enumeration,,"ALL"
audit_log_strategy,10,,all,all,0,0,enumeration,,"ASYNCHRONOUS"
authentication_windows_log_level,10,,Windows,all,0,0,integer,,"0"
authentication_windows_use_principal_name,10,,Windows,all,0,0,boolean,,"ON"
autocommit,0,,all,all,0,0,boolean,,"ON"
automatic_sp_privileges,0,,all,all,0,0,boolean,,"TRUE"
auto_increment_increment,0,,all,all,0,0,integer,,"1"
auto_increment_offset,0,,all,all,0,0,integer,,"1"
avoid_temporal_upgrade,24,,all,all,0,0,boolean,,"OFF"
back_log,0,,all,all,0,0,integer,,"50"
back_log,6,,all,all,0,1,integer,,""
big_tables,0,,all,all,0,0,boolean,,"OFF"
bind_address,1,,all,all,0,0,string,,"0.0.0.0"
bind_address,6,,all,all,0,0,string,,"*"
binlogging_impossible_mode,20,,all,all,0,0,enumeration,,"IGNORE_ERROR"
binlog_cache_size,0,,all,all,0,0,integer,byte,"32768"
binlog_checksum,2,,all,all,0,0,string,,"NONE"
binlog_checksum,6,,all,all,0,0,string,,"CRC32"
binlog_direct_non_transactional_updates,0,,all,all,0,0,boolean,,"OFF"
binlog_error_action,22,,all,all,0,0,enumeration,,"IGNORE_ERROR"
binlog_format,0,,all,all,0,0,enumeration,,"STATEMENT"
binlog_gtid_simple_recovery,23,,all,all,0,0,boolean,,"FALSE"
binlog_max_flush_queue_time,6,,all,all,0,0,integer,microsecond,"0"
binlog_order_commits,6,,all,all,0,0,boolean,,"ON"
binlog_rows_query_log_events,2,,all,all,0,0,boolean,,"FALSE"
binlog_row_image,2,,all,all,0,0,enumeration,,"full"
binlog_stmt_cache_size,1,,all,all,0,0,integer,byte,"32768"
block_encryption_mode,17,,all,all,0,0,string,,"aes-128-ecb"
bulk_insert_buffer_size,0,,all,all,0,0,integer,byte,"8388608"
character_set_database,0,,all,all,0,0,string,,"latin1"
character_set_filesystem,0,,all,all,0,0,string,,"binary"
character_set_server,0,,all,all,0,0,string,,"latin1"
