name,version_c,version_d,os,platform,removed,autosized,type,unit,value
innodb_version,0,,all,all,0,0,string,,"5.7.0"
innodb_version,1,,all,all,0,0,string,,"5.7.1"
innodb_version,2,,all,all,0,0,string,,"5.7.2"
innodb_version,3,,all,all,0,0,string,,"5.7.3"
innodb_version,4,,all,all,0,0,string,,"5.7.4"
innodb_version,5,,all,all,0,0,string,,"5.7.5"
innodb_version,6,,all,all,0,0,string,,"5.7.6"
innodb_version,7,,all,all,0,0,string,,"5.7.7"
innodb_version,8,,all,all,0,0,string,,"5.7.8"
innodb_version,9,,all,all,0,0,string,,"5.7.9"
innodb_version,10,,all,all,0,0,string,,"5.7.10"
innodb_version,11,,all,all,0,0,string,,"5.7.11"
innodb_version,12,,all,all,0,0,string,,"5.7.12"
innodb_version,13,,all,all,0,0,string,,"5.7.13"
innodb_version,14,,all,all,0,0,string,,"5.7.14"
innodb_version,15,,all,all,0,0,string,,"5.7.15"
innodb_version,16,,all,all,0,0,string,,"5.7.16"
max_tmp_tables,0,,all,all,0,0,integer,,"32"
port,0,,all,all,0,0,integer,,"3306"
protocol_version,0,,all,all,0,0,integer,,"10"
server_id_bits,0,,all,all,0,0,integer,,"32"
version,0,,all,all,0,0,string,,"5.7.0"
version,1,,all,all,0,0,string,,"5.7.1"
version,2,,all,all,0,0,string,,"5.7.2"
version,3,,all,all,0,0,string,,"5.7.3"
version,4,,all,all,0,0,string,,"5.7.4"
version,5,,all,all,0,0,string,,"5.7.5"
version,6,,all,all,0,0,string,,"5.7.6"
version,7,,all,all,0,0,string,,"5.7.7"
version,8,,all,all,0,0,string,,"5.7.8"
version,9,,all,all,0,0,string,,"5.7.9"
version,10,,all,all,0,0,string,,"5.7.10"
version,11,,all,all,0,0,string,,"5.7.11"
version,12,,all,all,0,0,string,,"5.7.12"
version,13,,all,all,0,0,string,,"5.7.13"
version,14,,all,all,0,0,string,,"5.7.14"
version,15,,all,all,0,0,string,,"5.7.15"
version,16,,all,all,0,0,string,,"5.7.16"
wait_timeout,0,,all,all,0,0,integer,second,"28800"
