name,version_c,version_d,os,platform,removed,autosized,type,unit,value
autocommit,0,,all,all,0,0,boolean,,"ON"
automatic_sp_privileges,3,,all,all,0,0,boolean,,"TRUE"
auto_increment_increment,2,,all,all,0,0,integer,,"1"
auto_increment_offset,2,,all,all,0,0,integer,,"1"
back_log,0,,all,all,0,0,integer,,"50"
bdb_cache_size,0,,all,all,0,0,integer,byte,"20480"
bdb_max_lock,0,,all,all,0,0,integer,,"10000"
bdb_shared_data,0,,all,all,0,0,boolean,,"OFF"
big_tables,0,,all,all,0,0,boolean,,"OFF"
binlog_cache_size,0,,all,all,0,0,integer,byte,"32768"
bulk_insert_buffer_size,0,,all,all,0,0,integer,byte,"8388608"
character_set_database,0,,all,all,0,0,string,,"latin1"
character_set_filesystem,19,,all,all,0,0,string,,"binary"
character_set_server,0,,all,all,0,0,string,,"latin1"
character_set_system,0,,all,all,0,0,string,,"utf8"
collation_database,0,,all,all,0,0,string,,"latin1_swedish_ci"
collation_server,0,,all,all,0,0,string,,"latin1_swedish_ci"
completion_type,0,,all,all,0,0,integer,,"0"
concurrent_insert,0,,all,all,0,0,boolean,,"TRUE"
concurrent_insert,6,,all,all,0,0,integer,,"1"
connect_timeout,0,,all,all,0,0,integer,second,"5"
connect_timeout,52,,all,all,0,0,integer,second,"10"
datetime_format,0,,all,all,0,0,string,,"%Y-%m-%d %H:%i:%s"
date_format,0,,all,all,0,0,string,,"%Y-%m-%d"
default_week_format,0,,all,all,0,0,integer,,"0"
delayed_insert_limit,0,,all,all,0,0,integer,,"100"
delayed_insert_timeout,0,,all,all,0,0,integer,second,"300"
delayed_queue_size,0,,all,all,0,0,integer,,"1000"
delay_key_write,0,,all,all,0,0,enumeration,,"ON"
div_precision_increment,6,,all,all,0,0,integer,,"4"
engine_condition_pushdown,3,,all,all,0,0,boolean,,"OFF"
expire_logs_days,0,,all,all,0,0,integer,day,"0"
flush,0,,all,all,0,0,boolean,,"OFF"
flush_time,0,,Windows,all,0,0,integer,second,"1800"
flush_time,0,,Linux,all,0,0,integer,second,"0"
foreign_key_checks,0,,all,all,0,0,boolean,,"1"
ft_boolean_syntax,0,,all,all,0,0,string,,"+ -><()~*:""""&|"
ft_max_word_len,0,,all,all,0,0,integer,,"84"
ft_min_word_len,0,,all,all,0,0,integer,,"4"
ft_query_expansion_limit,0,,all,all,0,0,integer,,"20"
ft_stopword_file,0,,all,all,0,0,file name,,"(built-in)"
group_concat_max_len,0,,all,all,0,0,integer,byte,"1024"
have_archive,0,,all,all,0,0,boolean,,"YES"
have_bdb,0,,all,all,0,0,boolean,,"YES"
have_blackhole_engine,0,,all,all,0,0,boolean,,"YES"
have_community_features,82,,all,all,0,0,boolean,,"YES"
have_compress,0,,all,all,0,0,boolean,,"YES"
have_crypt,0,,Linux,all,0,0,boolean,,"YES"
have_crypt,0,,Windows,all,0,0,boolean,,"NO"
have_csv,0,,all,all,0,0,boolean,,"YES"
have_example_engine,0,,all,all,0,0,boolean,,"YES"
have_federated_engine,3,,all,all,0,0,boolean,,"YES"
have_geometry,0,,all,all,0,0,boolean,,"YES"
have_innodb,0,,all,all,0,0,boolean,,"YES"
have_isam,0,,all,all,0,0,boolean,,"NO"
have_merge_engine,24,,all,all,0,0,boolean,,"YES"
have_openssl,0,,all,all,0,0,boolean,,"NO"
